Fecha; A�o ;Municipio;Paraje;Causa;Rasa;Arbolada; Total_(ha) ;X1;Y1;Latitud;Longitud
22/10/2020;2020;Vilafranca/Villafranca del Cid;Mas del Carro;Negligencia;0;0.015; <1 ;734087;4481922;40.45501452;-0.239399376
18/04/2021;2021;Alcora (l');Pedriza;Desconocida / En investigación;0;0.1; <1 ;739048;4433676;40.01945776;-0.198921525
15/05/2021;2021;Segorbe;Fuente los 50 Caños;Negligencia;0.04;0; <1 ;715095;4414905;39.85693974;-0.485519695
20/05/2021;2021;Vinaròs;Sol del Ríu;Desconocida / En investigación;0.13;0; <1 ;797535;4490995;40.51632607;0.511911267
22/05/2021;2021;Navajas;El Nogueral;Negligencia;0.1;0; <1 ;713363;4417344;39.87933128;-0.504953082
07/06/2021;2021;Llucena/Lucena del Cid;Solanes Mollon;Rayo;0;0; <1 ;730877;4449498;40.16412304;-0.288915623
15/06/2021;2021;Vilafamés;Barranco dels Pous;Rayo;0.02;0; <1 ;747158;4444892;40.11804597;-0.099723569
07/07/2021;2021;Sierra Engarcerán;Raco de San Miquel;Rayo;0;0; <1 ;755658;4459880;40.25035517;0.00584359
07/07/2021;2021;Albocàsser;ermita de Sant Joan;Rayo;0.005;0; <1 ;756683;4467889;40.3220972;0.021088209
20/07/2021;2021;Coves de Vinromà (les);Barranco La Juliana;Rayo;0.002;0; <1 ;765998;4463383;40.27864805;0.128698682
26/07/2021;2021;Torrechiva;El Rebollar;Rayo;0;0.007; <1 ;720352;4435410;40.04015183;-0.4171866
14/08/2021;2021;Suera/Sueras;Espadán;Rayo;0;0.833; <1 ;725638;4428683;39.97821042;-0.357626457
14/08/2021;2021;Soneja;Camino Boguera;Rayo;302.51;118.09;420.6;722927;4414238;39.84891618;-0.394277702
15/08/2021;2021;Caudiel;Bolage;Rayo;0;0.011; <1 ;709227;4425910;39.95746984;-0.550529719
15/08/2021;2021;Alcora (l');La Serra;Rayo;0.002;0; <1 ;739469;4443523;40.10795026;-0.190353389
19/08/2021;2021;Benicàssim/Benicasim;Agujas de Sta Águeda;Rayo;0.002;0; <1 ;761074;4439949;40.06937256;0.06136411
20/08/2021;2021;Pobla de Benifassà (la);Mas de Pitxi;Rayo;0.25;0; <1 ;759717;4511166;40.71048269;0.074498911
23/08/2021;2021;Benafigos;Les Trencades;Rayo;0.006;0; <1 ;739733;4461182;40.26678149;-0.180682884
24/08/2021;2021;Villahermosa del Río;El Romeral;Rayo;0;0.007; <1 ;716832;4455371;40.22072673;-0.451701603
30/08/2021;2021;Argelita;Corral de Pio;Rayo;0;0.003; <1 ;725414;4438215;40.06405984;-0.356936593
05/09/2021;2021;Almenara;Pontarró;Intencionado;3.903;0;3.9;740324;4402259;39.73636977;-0.195535914
16/09/2021;2021;Culla;Mas e Montoliu;Rayo;0.004;0; <1 ;746424;4459650;40.25105366;-0.102677649
01/02/2022;2022;Nules;Cucharero;Negligencia;0;0.1; <1 ;739347;4419635;39.89301705;-0.200582659
19/02/2022;2022;Onda;Barranco Beniparrell;Negligencia;0.003;0; <1 ;734787;4428670;39.97560245;-0.250604277
06/03/2022;2022;Nules;Andana bovalar;Intencionado;2.763;0;2.76;746683;4413461;39.8353578;-0.117209222
25/05/2022;2022;Soneja;Rodeno;Rayo;0;0.003; <1 ;727778;4409983;39.80933273;-0.339111888
29/05/2022;2022;Bejís;Masía Franco;Negligencia;0.08;0; <1 ;694343;4421200;39.9186169;-0.726050414
29/05/2022;2022;Peníscola/Peñíscola;La Garrocha;Rayo;0.004;0; <1 ;783677;4479214;40.41522481;0.343347828
